id,HT,LT,cc100hpa,cc200hpa,cc300hpa,cc400hpa,cc500hpa,cc600hpa,cc700hpa,cc850hpa,cc925hpa,cc1000hpa,q100hpa,q200hpa,q300hpa,q400hpa,q500hpa,q600hpa,q700hpa,q850hpa,q925hpa,q1000hpa,r100hpa,r200hpa,r300hpa,r400hpa,r500hpa,r600hpa,r700hpa,r850hpa,r925hpa,r1000hpa,v100hpa,v200hpa,v300hpa,v400hpa,v500hpa,v600hpa,v700hpa,v850hpa,v925hpa,v1000hpa,vo100hpa,vo200hpa,vo300hpa,vo400hpa,vo500hpa,vo600hpa,vo700hpa,vo850hpa,vo925hpa,vo1000hpa,u100hpa,u200hpa,u300hpa,u400hpa,u500hpa,u600hpa,u700hpa,u850hpa,u925hpa,u1000hpa,w100hpa,w200hpa,w300hpa,w400hpa,w500hpa,w600hpa,w700hpa,w850hpa,w925hpa,w1000hpa,d100hpa,d200hpa,d300hpa,d400hpa,d500hpa,d600hpa,d700hpa,d850hpa,d925hpa,d1000hpa,z100hpa,z200hpa,z300hpa,z400hpa,z500hpa,z600hpa,z700hpa,z850hpa,z925hpa,z1000hpa,t100hpa,t200hpa,t300hpa,t400hpa,t500hpa,t600hpa,t700hpa,t850hpa,t925hpa,t1000hpa,P,H
0,13.0,0.7,0.0,0.0,0.0,0.0,0.0,0.064074576,0.9750049999999999,0.0124975145,0.0,0.0,0.0024288893,0.04570093,0.19112322,0.43550413,0.27944054,1.9794637,5.329853,4.5576957,3.5915235,3.9604,26.778782,69.23121,32.963406,26.576195000000002,8.163452000000001,52.03627,99.79923000000001,79.47896999999999,54.07808000000001,50.982353,1.2715671,-5.205925,3.325969,-5.701865,4.4778757,3.0318650000000003,6.5265102,6.7845716,5.9628115,1.1245153,1.4587379999999999e-05,-6.243802e-05,-6.730996e-05,-5.5765406e-05,1.759132e-05,5.966331e-05,-5.3126714e-06,5.1779017999999996e-05,1.2020988e-05,2.8790884000000002e-05,41.207370000000004,64.24789399999999,59.65475,48.99947,34.586826,17.433262,12.624789999999999,2.131918,-1.8626709,-0.71484375,-0.014854312,0.033028007000000005,-0.0550856,0.015749574,-0.26995024,-0.17954135,-0.04431051,-0.014854312,0.006440878000000001,-0.013387858999999998,-7.846418e-06,4.3437096e-05,2.4109357e-05,-1.527416e-05,1.9559104e-05,-3.4868425999999998e-06,-1.3731409000000002e-05,-1.7128932e-05,1.2512711999999999e-05,-3.8768630000000006e-06,1638.9681632653064,1221.472142857143,950.2497959183673,741.967,573.0507448979591,430.93877551020415,309.2724795918368,152.42721428571429,83.33561836734694,18.845025510204078,-73.50854999999999,-54.91340999999997,-32.907839999999965,-19.77085999999997,-9.66973999999999,-6.228979999999979,-0.25177999999999656,3.4672500000000355,6.795650000000022,10.11334000000005,1023.7,99
1,10.8,6.7,0.0,0.0,0.0,0.0,0.0,0.010941058,0.9796896,0.17810875,0.0,0.0,0.0020740554,0.022291206,0.2237549,1.5236883999999997,2.3845183,2.7076397,5.787047,6.3896630000000005,5.483788,5.688798,62.538975,29.906376,34.930103,84.28645,61.580666,50.233463,98.995705,96.66253,82.713554,80.07308,8.609746000000001,14.147259,5.0372496,-0.3993461,6.804755,4.2472057,6.4746094,2.9568974999999997,-1.2254319,-3.8420907999999994,-4.994264e-05,-6.560183000000001e-05,-5.6362826999999996e-05,-4.982484e-05,-3.4451732e-05,-2.9992100999999996e-05,-8.207226000000001e-06,2.003991e-05,2.5862673e-05,1.5925269e-05,46.433735,49.879044,43.041344,37.167159999999996,25.81296,25.612226,14.372993,3.2925205,-4.0689125,-3.9867934999999997,0.0318166,0.007843554,0.09219545,0.111450374,-0.02588445,-0.07631707,0.018299878000000002,-0.07663584,-0.20638347,-0.12898117,7.080598e-07,-5.0627455e-05,1.4436820499999998e-05,5.8303413e-06,1.1463988e-05,-8.791136e-06,2.2161403e-06,1.5112859e-05,1.677695e-05,-3.5069929999999996e-05,1644.4220408163267,1229.6659795918367,956.8409591836736,747.6794489795917,577.8067551020408,434.1697653061225,311.2627959183674,153.22847959183673,83.85260204081635,19.517060204081638,-79.81929999999997,-53.99658999999997,-31.992799999999992,-18.80586999999997,-8.306979999999953,-2.13534999999996,0.9718600000000492,5.466800000000035,6.72607000000005,8.825500000000034,1024.6,83
2,9.4,3.6,0.0,0.009369314,0.86870736,0.29365358,0.19062153,0.08435446,0.889033,1.0,1.0,0.08754369599999999,0.003138557,0.06201677,0.52133854,1.819144,3.1446162999999996,4.2711073000000015,6.0910150000000005,5.8012344,4.582523999999999,4.5938742999999995,57.492484999999995,78.83934,98.08975,102.64684,91.01510999999999,82.61795,98.545006,99.62396,99.68542,96.0616,17.121456,20.196571,13.06167,15.6321945,13.8387375,6.91144,11.010152,5.569230999999999,-4.6234839999999995,-6.98929,-3.4569537e-05,-5.4663119999999996e-05,-2.3252170000000002e-05,-5.340937e-05,-5.5984180000000004e-05,-4.575227e-05,-2.5179063e-05,3.0684125e-05,7.673611999999999e-05,1.9021767e-05,43.468357,56.295207999999995,43.539528000000004,38.780322999999996,29.847697999999998,19.539135,12.338289,-2.6455307,-14.061775,-6.596325,0.02308172,-0.0031228065000000003,0.06082648,-0.0137704015,-0.21428943,-0.20517206,-0.1657058,-0.24584967,-0.36450340000000003,-0.23571217,-3.3655014999999997e-06,-6.458156e-05,-3.8508624e-06,-1.6580743e-06,2.0278478e-05,-2.6168771e-05,1.5606885e-05,1.3812787e-05,1.7002298e-05,-3.2651795000000004e-05,1641.4495918367347,1227.0811224489794,955.083306122449,746.8264285714287,577.1088571428571,434.2731632653061,310.82337755102037,152.91828571428573,84.36958163265305,21.507334693877553,-77.20437999999999,-53.60059999999999,-33.772939999999984,-19.01634999999999,-9.609079999999947,-2.707920000000001,1.7477700000000027,3.649200000000008,1.5569000000000417,3.106960000000015,1028.2,99
3,3.6,1.7,0.0,0.0,0.0,0.0,0.0,0.86721194,0.97970486,0.99218714,0.8734378,0.0015564561,0.003138557,0.011650845,0.06698258,0.059888698,0.13721082,3.7472323,5.2418904,4.5718835,3.3609765,3.8607324999999997,45.35314,15.779846,12.936786999999999,3.7725296000000004,5.179260299999999,93.919624,98.98888000000001,97.92586,96.80821,89.68349,9.538191000000001,16.236261,21.432095,19.028805,14.372162,8.102272,4.359657299999999,-1.7631805,-6.837913,-4.398581500000001,-1.15224975e-05,-5.051482e-05,-7.906487e-05,-1.366817e-05,3.565703e-05,-4.6534806e-05,7.8747165e-05,4.6907084000000007e-05,1.569808e-05,-4.9235829999999996e-05,46.89177,64.85374499999999,58.406555000000004,47.924633,39.815014,27.77832,23.902345999999998,7.4330997000000005,-2.1217995,0.25049973,0.05802113,-0.042844057000000005,-0.37100673,-0.45676130000000004,-0.24591345,-0.46141565,-0.04061252,0.020403921999999998,-0.2024942,-0.07548821,-3.8467453e-05,6.5410495e-06,4.252705e-05,-1.1330609e-05,-7.733743e-06,6.627503e-05,-8.164717e-05,2.1682556e-05,9.747890999999999e-06,-7.525734e-06,1635.142551020408,1216.5352040816326,945.1060204081633,737.1852040816327,569.2252448979592,428.87091836734686,306.4550816326531,150.02335714285715,82.48270102040816,20.163265306122447,-75.92189999999997,-53.97874999999999,-33.87639999999999,-20.32380999999998,-12.443399999999995,-5.950719999999991,-0.3890999999999849,0.4849000000000387,-2.2245499999999647,1.7031800000000317,1026.1,99
4,2.8,1.1,0.0,0.0,0.0,0.0,0.0,0.11877984,0.6031465,0.0124975145,0.7718554,0.0,0.0024288893,0.014133751000000002,0.057760625999999995,0.058824195999999995,0.16381219,1.4307601,5.272393599999999,3.4177266000000004,3.4425547,3.7121177000000003,30.744040999999996,16.715393,11.261452,3.7679748999999996,5.625412,39.43484,94.991745,67.34418000000001,98.34697,85.92992,-3.8464157999999995,5.945511,8.616954,1.1490238000000002,7.7980766,4.3063145,6.503443,2.8848130000000003,0.46278167,-3.4196769999999996,-5.248379e-05,-7.744089e-05,-5.6876102e-05,9.294723e-06,-2.2057324e-05,3.438301e-06,-5.304755e-05,6.1982246e-06,5.3184223e-05,4.103040000000001e-06,48.911877000000004,65.71689,58.22042,44.835167,37.42994,24.778270000000003,13.305457999999998,0.26874924,-5.2404633,-3.7824097,0.04832995,-0.22493702,-0.3821644,-0.3185976,-0.2684838,0.04571587,-0.07912242400000001,-0.046988367999999996,0.014346898,-0.094041765,2.042582e-05,2.3103968e-05,1.4896181e-05,-5.280941e-06,-2.4530676e-05,-1.36620765e-05,1.5580885e-05,-2.287525e-05,2.6648831e-05,1.2556051e-05,1638.1151020408167,1218.9648979591834,945.9072857142858,738.1415306122449,570.285,428.84506122448977,307.1529795918367,149.6097755102041,82.09494591836734,19.723852040816325,-75.09782999999999,-52.94598999999997,-34.069039999999966,-20.370179999999976,-11.462349999999956,-7.022699999999987,0.27084000000002106,1.7549000000000206,-2.1888799999999837,1.7798700000000167,1025.1,99
5,1.8,1.3,0.0,0.0,0.9843743,0.34852672,0.0,0.0,0.9140433000000001,0.87188137,0.8093785,0.0,0.0027837232,0.010941178000000001,0.39790664,1.0601105,0.65718405,0.44401642,5.453994000000001,6.0502259999999985,4.3711294,4.052619,26.205161999999998,8.652847,100.18164,78.24296,27.272732,9.338005,98.09658,98.42436,97.19063,91.46809,9.346447,21.18845,30.987586999999998,21.78819,5.8618937,9.835177999999999,6.758621000000001,5.2261095,0.9414213,-2.6108912999999996,-8.038936e-06,-2.4691028e-05,2.6510581e-05,-0.00011041691999999999,-3.0118317000000002e-05,-2.1451488e-05,-2.0349202e-05,4.5140059999999996e-05,4.3507664999999994e-05,2.0990736e-05,37.971916,65.40849,48.866257,46.605270000000004,39.541286,27.900584999999996,16.588358,4.679405,-1.8261756999999998,-2.3079338,0.009628773,-0.07395798,-0.2961548,-0.0003812313,0.08754110000000001,-0.26567844,-0.35423836,-0.11259538,-0.18782985,-0.10889739,9.6688054e-05,-5.4716184e-06,0.00016384112,-0.00017595441000000002,5.1497544e-05,1.6941627e-05,7.581107599999999e-06,1.1854012e-05,-5.098933e-06,-1.7917646e-05,1638.6320408163267,1214.7517346938776,941.9783673469387,735.9185714285715,569.3544897959183,427.83701020408165,305.3952857142857,147.64532653061227,79.04488163265306,16.3636,-73.07331999999997,-49.86195999999998,-36.459199999999974,-21.777529999999985,-13.461899999999956,-3.605139999999949,0.3065400000000409,4.460780000000001,1.116330000000005,2.0420799999999986,1020.9,99
6,2.2,1.3,0.0,0.0,0.0,0.0,0.0,0.023453832,0.66256696,0.7876032,0.44685882,0.0,0.0024288893,0.0137789175,0.058824195999999995,0.16310252,0.12905244,1.4899931999999998,4.765189,4.379997,3.3694888,3.6174161,13.162135999999999,11.919296000000001,18.465847,14.591637,6.071556,44.852364,92.80425,94.816475,90.27304000000001,87.99905,4.874339,10.283543,22.066437,19.2984,16.686068,13.494175,8.298342,-3.3663347000000003,-5.0300400000000005,-2.3542714,-2.7787529999999997e-05,-4.8327078e-05,-2.3075467e-05,-4.7236645e-06,2.3624443e-05,-3.4031014e-05,-8.469409999999999e-05,2.0258683e-05,5.220815400000001e-05,-1.4913501000000002e-05,35.81312,76.75357,61.41208,59.019707,43.712887,33.716373,25.413319,7.825441400000001,1.230442,2.9220772,-0.012941538999999998,-0.14868242,-0.06847483,0.3216607,0.012689173,-0.03226024,0.48749536,0.2492953,0.07504457,-0.0024214983,3.4468758e-06,-3.4955082999999994e-06,-4.019221e-05,-2.5302051999999998e-05,6.86585e-05,-7.010254e-05,3.9476209999999994e-05,-3.1707077e-05,1.94811e-05,2.9673667e-05,1637.4172448979593,1209.6079591836735,935.283775510204,731.4986734693878,565.0895612244898,425.14883673469393,303.63763265306125,146.97329591836734,79.25167346938775,16.983976530612242,-69.37925999999999,-50.49517999999998,-38.41056999999998,-23.666459999999965,-14.428659999999981,-8.009099999999991,-0.8689299999999776,0.3350800000000049,-1.3095199999999636,0.9861000000000216,1022.1,90
7,5.9,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027837232,0.010941178000000001,0.017680228,0.40996633,0.9778226,0.2946928,0.10316074,0.310299,1.5421323,1.8531950000000001,10.974644,8.837227,5.479728700000001,44.763588,66.287994,15.151596,3.5153046000000003,10.055031,45.064056,39.14348,7.648141000000001,14.734024,24.570644,14.803226,5.4596634,-7.913410000000001,-14.112657999999998,-10.49691,-7.094533,-3.8925498,6.721944400000001e-05,-7.58085e-05,9.7911725e-06,9.5432915e-05,0.00010563117,-0.00011066093999999999,-1.1968459e-05,-1.848962e-05,-4.1780673e-05,-5.5226883e-05,40.76576,88.62602,70.06915,56.421119999999995,39.623405,24.902363,19.241685999999998,6.898418400000001,7.871063,4.8491154000000005,-0.08396798,0.2162686,-0.047498405,0.10851753,0.13708115,0.040934026,0.24387586,0.29214066,0.22219813,0.03672594,-5.146817e-05,-2.6264108e-05,1.203602e-05,-2.3932644e-05,1.2174696e-05,-3.3761190000000004e-05,1.9515768e-05,-8.964478e-06,3.7820784e-05,1.4038131e-05,1630.4901020408167,1200.6386734693874,927.09,723.4857142857144,558.8602040816327,422.15046938775515,303.5084081632653,152.06528571428566,85.37763265306124,22.82565306122449,-67.05331999999999,-49.86731999999998,-38.55684999999997,-25.721299999999985,-18.565069999999963,-13.70089999999999,-8.105399999999975,-4.5861999999999625,-2.408269999999959,2.9714000000000174,1029.4,54
8,9.4,-1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027837232,0.0073947012,0.018035062,0.17161574,0.40074438,0.34399424,0.35853684,0.5805716,1.586114,2.2628596,9.139969,7.1231919999999995,7.5534134,31.360912,39.901474,20.43254,15.522629,16.999928,34.267708,36.864933,4.705662,3.3778694,4.329382,2.4306824000000002,0.30563807,-8.40935,-15.537042999999999,-13.687361,-5.350094,-0.21336865,8.324045500000001e-05,0.00010202981,2.3027022000000002e-05,3.8997547e-05,-2.090455e-05,-6.9968904e-05,-1.7917439e-05,-5.5146155999999995e-06,-4.6576883e-05,-6.688082e-05,42.55046,74.67325,68.59285,56.70215,36.72007,28.092194,17.637646,10.522566000000001,10.190443,5.560806299999999,-0.11367929,-0.012240231,-0.015173078000000001,0.25554353,-0.01051873,0.20103043,0.2225169,0.12101412,0.07887006,0.07842374,5.800656999999999e-05,-1.9096373000000002e-05,5.310314e-06,5.1023017e-06,6.012353000000001e-06,-2.1037817e-05,-7.8269295e-07,1.3128079e-05,5.1738243e-07,7.121747299999999e-06,1624.39,1189.0330000000001,919.8784285714287,720.1772448979591,558.963612244898,423.05512244897966,305.47285714285715,153.7454591836735,86.41151020408164,22.980708163265305,-65.62634999999997,-51.11590999999999,-40.98802999999997,-30.681779999999968,-22.598029999999966,-15.279499999999983,-10.343969999999958,-3.8619999999999663,1.4088700000000358,6.717160000000034,1029.5,57
9,10.2,-0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027837232,0.0073947012,0.014488585,0.17055124,0.063435175,0.12231339,0.23971591,0.82920864,1.8053119999999998,2.1670945,4.6648254,6.790863000000001,8.131584,44.718063,8.463921000000001,9.262886,10.526218,25.246853,41.988815,35.913452,-1.7098381999999999,-4.451924,-6.330439599999999,-4.26883,-7.5284805,-11.312904,-12.532571,-9.577115,-5.6081553,-2.9049952,6.603301e-05,9.0308546e-05,8.9929905e-05,0.00011649416000000001,8.181842e-05,3.276248e-05,9.269481e-06,1.9341514e-05,4.304984e-06,-5.5268953e-05,34.813107,56.90288,54.802482999999995,47.141773,29.699884,17.15406,12.427706,8.677645,6.082712,4.2542152,-0.0374884,0.12496710000000001,0.13606101,0.13784623,-0.007267058000000001,-0.018488526,-0.018169701,0.3747074,0.26427847,0.10743362,-4.1500953e-05,2.9441834999999996e-06,-6.8496956e-06,1.8016351999999998e-05,-2.3601133e-06,1.0553937e-05,-1.2968699999999998e-05,-1.2396670999999998e-05,2.2167917e-05,2.6042131e-05,1620.0475510204087,1181.4854081632654,913.3905102040816,716.8169387755103,557.748775510204,423.62380612244897,306.66186734693883,155.34797959183675,88.14333673469389,24.81592857142857,-60.71045999999998,-50.77165999999997,-43.56369999999998,-34.32588999999999,-25.669579999999968,-17.955049999999968,-10.472399999999991,-4.231200000000001,0.79525000000001,6.517400000000008,1031.2,44
